item_id,category,price,discount,recency
8730a0ee-7,Beauty,49.61,20,378
9869b403-1,Clothing,325.51,15,171
7936a1cb-1,Books,394.16,10,179
a49efe9f-9,Home & Kitchen,440.11,5,223
c0b10d64-7,Books,94.52,30,202
474c66bf-3,Beauty,209.41,50,181
312bc8fc-8,Toys,413.31,30,419
f048a4a2-5,Sports,205.82,5,205
118fb0b7-5,Home & Kitchen,110.73,30,160
36d0d0c8-a,Toys,432.1,5,327
a1d11037-3,Sports,375.09,5,186
5f7c41ee-8,Electronics,69.77,5,317
148cb3f3-1,Beauty,430.96,15,232
03855207-2,Home & Kitchen,429.69,30,448
5409dd3e-8,Books,381.28,15,207
fb807119-e,Toys,72.87,20,441
a875d9c4-3,Beauty,37.67,25,388
c0b273c2-5,Books,485.0,15,164
61c34d6b-7,Home & Kitchen,214.45,0,381
e7f6b561-2,Beauty,315.89,0,484
e5e1cfb0-8,Books,211.67,50,358
108aa207-b,Toys,490.75,30,303
06a09e72-0,Toys,444.27,10,429
d0b8fdbd-c,Sports,244.61,10,250
6a7a755f-3,Books,444.87,30,417
8fb4616e-1,Books,231.08,10,455
211045d2-8,Beauty,32.39,20,354
19c38aae-f,Toys,260.74,5,222
96cc2aff-a,Electronics,446.14,0,483
1f547b94-e,Beauty,144.56,10,265
38cc3695-2,Home & Kitchen,467.35,50,293
0c216a89-c,Toys,71.02,50,164
8154e3b9-f,Sports,374.32,50,479
9a063b15-b,Books,61.82,20,465
1c38c5f3-a,Home & Kitchen,214.64,20,268
4743f61c-6,Books,220.76,15,412
f7dc5f39-8,Toys,204.56,0,420
938a985a-3,Beauty,78.43,15,249
8423ce73-6,Home & Kitchen,132.48,20,364
67788728-f,Books,334.55,5,168
f103ac45-1,Electronics,311.29,10,200
2b5c6c6d-1,Electronics,70.49,15,462
adf77823-5,Electronics,243.69,50,481
1e180b5a-5,Clothing,74.67,20,344
747539b8-3,Electronics,388.03,5,297
d037e5a2-4,Sports,28.12,0,409
5d6fed7e-c,Books,112.53,15,322
35303867-3,Books,439.81,15,340
035b2887-1,Sports,220.37,20,450
409255b0-7,Home & Kitchen,314.16,30,213
cb2df151-f,Clothing,438.97,10,194
9e7e2170-8,Clothing,166.89,10,477
952d56a9-b,Books,222.28,0,235
c5cfe88d-5,Clothing,128.89,25,310
e8999fe4-c,Beauty,65.88,30,200
30884869-f,Beauty,31.93,15,412
9c80171d-4,Home & Kitchen,18.79,50,208
d09b26d9-0,Beauty,46.99,25,416
2b55fe4e-5,Beauty,293.28,30,277
7bd70763-d,Sports,419.54,10,317
f6ac2fc8-b,Electronics,150.09,10,442
9837356f-2,Books,172.11,25,303
fa178a1a-9,Books,440.57,5,268
d0248426-8,Toys,121.31,15,239
3e909d12-3,Electronics,481.88,15,335
8783e6d7-9,Home & Kitchen,177.59,20,348
6c60ac1f-5,Electronics,443.05,30,459
ce33c092-3,Electronics,235.33,50,314
6917952b-a,Beauty,24.75,50,472
dd47ca5c-7,Electronics,470.9,10,435
dbdf1bd9-4,Books,237.27,0,168
affa909a-d,Books,151.72,5,403
b728a1fd-f,Books,27.88,50,371
9290dba4-3,Sports,26.95,20,418
35165fca-f,Sports,417.34,30,438
f9b277b8-e,Clothing,207.54,10,308
6330d18c-c,Home & Kitchen,123.41,25,360
cca83636-7,Sports,398.36,0,400
0e1a71b4-5,Sports,350.5,15,474
f75cd757-e,Books,459.93,0,315
d7756866-3,Toys,324.93,25,426
8758e2a7-5,Toys,483.48,15,230
f6668874-4,Books,286.37,25,408
99f4f73c-d,Sports,486.15,5,309
34731d18-b,Clothing,44.29,0,204
9daf59d4-d,Sports,481.53,25,252
112725bd-9,Toys,404.07,15,303
5471b17a-5,Sports,63.31,20,322
4e770614-0,Electronics,254.31,0,390
880eab94-7,Home & Kitchen,152.98,15,316
a3a6c3c3-5,Electronics,199.16,15,406
2029492d-a,Electronics,384.71,10,418
97aa2898-6,Toys,498.37,10,311
1a75428d-6,Beauty,142.53,10,205
741be484-3,Beauty,353.77,15,450
6cc0fabb-0,Toys,38.68,5,231
edc90cdd-f,Electronics,34.3,10,169
49da2a6d-0,Sports,121.05,25,229
19694848-0,Sports,117.95,15,472
966d092f-4,Clothing,41.11,20,169
e1fbcf04-4,Electronics,171.56,20,278
5ff948e9-e,Clothing,190.47,20,384
37dd32b9-2,Toys,94.21,25,389
f5929b23-f,Electronics,294.66,15,193
f735c522-7,Home & Kitchen,262.15,15,472
0bb347fc-8,Books,257.35,50,168
385d5a98-5,Books,318.15,10,409
1879476d-1,Sports,432.56,30,348
60552b00-5,Books,386.32,10,379
8dc77453-f,Toys,131.54,5,172
68175273-6,Clothing,32.29,0,199
1716680b-f,Home & Kitchen,278.03,10,441
61dc6cda-6,Beauty,381.05,10,205
3b35362c-0,Toys,56.78,10,415
7321f69d-6,Sports,30.56,30,332
70243117-d,Clothing,387.81,20,272
ec7ee1d8-c,Clothing,375.41,30,428
9f0f06d3-3,Sports,183.1,5,415
b1f1cec7-8,Electronics,278.54,15,197
fbcacc6c-d,Clothing,227.68,10,226
28c40ae3-e,Electronics,490.91,30,271
9eeae0e2-6,Clothing,69.31,50,219
b8c6b653-c,Beauty,31.12,50,257
538ed23f-d,Sports,225.59,25,231
c612b025-d,Toys,328.31,10,243
5aff8eb0-a,Books,92.21,50,230
0a6ec1de-5,Home & Kitchen,95.3,15,405
4cf74eeb-1,Toys,467.24,0,264
66d31bcc-5,Sports,181.68,10,434
86c443dc-d,Clothing,267.88,50,288
e5071257-0,Electronics,138.46,0,343
2d45fe93-4,Clothing,151.92,5,322
1df471c0-6,Electronics,163.54,25,423
ad05bd9b-3,Beauty,286.09,30,329
26feb22b-9,Beauty,209.89,30,426
43084da7-3,Toys,454.14,10,168
d3ede683-9,Home & Kitchen,87.6,25,349
8b7d3acc-5,Beauty,223.73,30,273
c2358c11-c,Clothing,473.12,10,170
5e1c0286-d,Clothing,474.63,5,377
6f5b3c27-7,Books,351.26,10,161
1e048fba-3,Clothing,412.47,15,266
5e3bc580-6,Sports,221.39,20,337
b6c438b1-4,Clothing,47.18,0,469
6ff74b4d-7,Sports,363.37,50,348
513edd5b-a,Sports,116.06,0,195
474e681a-a,Home & Kitchen,321.07,20,296
1e7bf1fe-6,Books,485.4,20,179
f28cdd02-7,Clothing,129.71,25,347
38d8b02d-4,Clothing,481.63,20,359
6eac3727-8,Electronics,112.0,0,322
db7d8ba8-a,Books,444.98,0,404
0e5c25e6-2,Beauty,226.97,25,191
5d6d3c17-6,Electronics,412.98,20,206
d0d702ad-8,Electronics,306.97,20,419
25ea4a1f-0,Books,479.52,15,217
7c4d897b-7,Sports,422.68,15,453
7fe0ba98-f,Toys,450.51,30,201
fa1b70a0-d,Clothing,337.72,5,339
dce9a48e-f,Clothing,355.43,25,234
933712e7-8,Sports,250.41,50,473
37cadfa7-8,Beauty,258.08,25,315
27cdeb76-6,Sports,61.98,0,469
cfcc5fd6-b,Books,277.14,10,289
210a2d36-7,Electronics,181.62,50,188
4c798c68-9,Beauty,101.29,15,432
e0f744c7-3,Sports,399.69,25,300
f5819e74-0,Books,181.69,10,446
37800a56-3,Clothing,138.51,15,435
1a3aa7ac-9,Sports,360.88,30,219
6d05da53-3,Toys,152.43,20,393
2ea64143-d,Home & Kitchen,278.78,15,473
9a544065-a,Beauty,82.95,10,311
28dd3466-1,Sports,83.31,5,208
7438ea1f-c,Books,268.14,0,332
071b5966-3,Sports,489.42,50,253
1d4e9360-1,Home & Kitchen,210.4,0,342
e5a12194-5,Books,99.23,20,427
385838a7-e,Electronics,280.2,0,276
bb11a08f-4,Beauty,200.14,10,175
b22c4626-9,Home & Kitchen,388.45,15,376
2784b792-4,Electronics,429.43,50,269
c1e93299-2,Toys,348.15,15,476
762221aa-3,Books,176.6,0,414
389afb40-f,Beauty,228.74,0,300
2830b16b-9,Home & Kitchen,302.97,15,295
88733fae-e,Beauty,117.7,25,262
67d80dfd-7,Clothing,219.19,25,279
381eab4a-d,Home & Kitchen,137.74,30,250
36fe6ac6-2,Beauty,436.86,5,444
82b6cd96-6,Sports,269.89,20,214
a1f2b6dd-7,Sports,81.82,10,329
5dd58cd8-2,Books,353.61,20,369
ed21c448-4,Toys,37.73,15,368
3eb56196-f,Books,215.34,5,401
c3890ccb-8,Toys,117.18,10,419
4a8e60af-d,Beauty,451.22,5,397
7bcd7ac9-6,Beauty,382.83,30,478
90a62e58-d,Sports,213.0,50,478
9e13e61e-c,Home & Kitchen,450.17,0,405
d5ffce9f-3,Home & Kitchen,251.98,50,273
3bf1badc-6,Beauty,345.49,25,399
8f8a84e9-8,Beauty,431.89,15,452
531124f2-0,Clothing,76.69,0,302
4fb52521-f,Electronics,373.26,50,443
ae353616-c,Books,26.71,30,329
3eed3203-4,Electronics,191.54,0,266
062f7492-d,Sports,473.96,25,392
c18f0916-4,Beauty,347.43,15,343
1ff000e0-e,Clothing,200.63,5,395
69e1b723-6,Home & Kitchen,47.45,25,343
5e2b3419-a,Home & Kitchen,453.53,20,390
91b88773-5,Clothing,378.95,20,160
908a54b6-0,Sports,321.66,0,357
27c745da-8,Home & Kitchen,429.78,5,285
51f72692-9,Home & Kitchen,392.26,5,470
d269fa86-d,Home & Kitchen,169.92,25,365
03e902b1-7,Beauty,344.08,30,378
a2075783-1,Books,119.61,50,267
507cfd45-3,Toys,304.02,15,229
d530da77-3,Books,221.6,20,416
cddf766d-e,Clothing,371.72,15,259
d78da125-0,Books,245.53,0,383
018f23ea-7,Home & Kitchen,435.73,50,281
b121d823-9,Beauty,399.88,5,175
98898541-4,Clothing,471.77,15,206
919c0e4d-0,Electronics,451.25,30,324
0e7f87e5-8,Toys,168.52,5,392
310c2d25-b,Home & Kitchen,272.8,30,357
73bb6de8-1,Electronics,153.13,5,374
31dd646d-7,Clothing,244.73,50,240
267985bd-2,Sports,74.64,30,164
b8455d97-7,Sports,204.33,10,265
7dcce976-1,Books,426.27,15,222
a7f3a36d-b,Electronics,369.36,10,219
f4193c4a-2,Electronics,384.61,0,426
26c3c2aa-e,Clothing,203.19,20,414
012b2dda-1,Electronics,394.31,20,335
52cdaea0-8,Beauty,135.22,25,467
3ba6780b-a,Toys,241.76,50,471
5024d38a-c,Toys,20.31,5,329
4af5147b-4,Toys,236.62,20,213
3c7eedc9-a,Sports,250.72,0,255
6280a914-4,Books,407.45,30,372
5497ca0e-5,Electronics,436.95,10,194
3a6f86b9-b,Toys,292.37,50,194
122394b2-e,Sports,63.8,0,230
63b737b8-d,Sports,462.49,15,242
433fec78-f,Sports,122.14,5,357
4b94f455-e,Toys,430.8,50,392
451dc78c-3,Books,245.54,15,225
c385a9e4-c,Toys,411.1,30,315
ce07178a-6,Clothing,152.62,50,350
13cd0a57-0,Toys,141.24,50,218
3d9f22df-f,Electronics,419.81,15,386
a0d2dea3-a,Clothing,389.67,0,330
56886e5d-7,Electronics,426.13,20,390
6e4a33e0-e,Electronics,496.76,5,416
5ec4a8b3-d,Electronics,109.99,15,316
4a545c9f-8,Books,423.41,25,330
f330657b-d,Home & Kitchen,59.42,20,163
2fe1f2b3-b,Clothing,14.4,20,344
bef56996-5,Beauty,127.92,10,247
84268f41-1,Sports,190.26,0,471
0f8b3bb7-8,Books,366.79,20,404
4396ccca-1,Home & Kitchen,238.92,25,169
4b89d022-8,Books,105.61,10,291
5afee66b-4,Beauty,251.84,5,463
17c05cd0-c,Toys,482.78,30,303
b0d69622-a,Toys,204.49,5,431
f73bf81c-f,Electronics,364.65,5,433
b3345786-8,Books,66.29,50,226
4023a06e-7,Home & Kitchen,122.79,25,477
3f1caf62-f,Home & Kitchen,59.16,20,401
2ad69764-b,Toys,482.74,20,418
33850590-0,Toys,400.25,30,297
07fa6d99-0,Clothing,278.69,30,198
14161f4b-8,Books,446.45,5,197
33b219e4-0,Toys,77.79,10,481
89d4357f-0,Clothing,126.91,20,235
c6438a19-5,Toys,350.82,30,336
0a454a94-f,Books,43.02,10,468
fbe1be6d-3,Toys,416.29,25,233
9d4429b3-b,Books,128.2,15,212
912f767d-d,Toys,112.97,25,179
4b585842-7,Toys,221.92,20,252
c043a23a-d,Toys,356.78,20,404
6698a03c-9,Sports,309.92,30,251
6e225e67-8,Books,400.63,30,411
15b532b8-c,Books,377.55,50,248
f1aa4880-3,Beauty,382.33,15,233
e4733b2d-3,Beauty,215.61,15,425
88ac9198-a,Books,352.89,10,453
ad95ddec-0,Clothing,403.98,15,234
2392c4a9-b,Beauty,19.44,15,274
95d60434-e,Toys,422.63,50,191
e9feb788-5,Toys,302.73,30,341
0ca7d06c-9,Beauty,71.26,0,239
1d45530e-f,Books,332.89,0,279
33f24bca-a,Clothing,254.19,10,275
3a2603ce-0,Beauty,436.15,30,259
a8e54bbb-b,Toys,379.65,30,177
c97eb78f-6,Toys,440.27,20,394
408988b0-2,Toys,358.89,0,468
1d0dfece-f,Home & Kitchen,463.05,15,389
ad413f74-7,Clothing,14.66,50,350
74232b1e-e,Clothing,374.15,10,265
f1612cb4-2,Beauty,330.67,15,338
1730de82-d,Books,367.14,5,216
b99ff610-5,Electronics,96.93,50,258
fd68f3df-7,Home & Kitchen,326.94,5,216
68365458-0,Sports,133.61,10,480
b1cac920-f,Electronics,319.29,50,282
c4e06440-e,Home & Kitchen,473.16,30,219
ceab308d-f,Electronics,261.33,30,372
fda392f9-d,Home & Kitchen,332.48,5,225
64049319-8,Clothing,180.06,5,406
494800ef-2,Home & Kitchen,478.62,5,417
2ac7fc27-9,Sports,391.77,30,342
2a34ede3-a,Beauty,194.6,50,162
93f6ad6c-3,Electronics,145.56,50,435
f6ffdeea-1,Toys,149.93,0,445
cbeb110c-d,Books,197.26,20,331
758e3cf5-d,Books,125.47,15,220
c8304287-0,Sports,221.24,0,482
b3684052-7,Clothing,421.76,50,405
f9c3cc85-b,Sports,342.6,20,451
4d81096c-a,Beauty,380.5,25,266
96a4eeb1-a,Electronics,435.45,0,472
d45a02f8-3,Books,255.26,25,178
1ac7fcaa-4,Sports,142.92,25,249
0ae87429-2,Electronics,203.54,25,414
8baecb87-6,Electronics,71.16,0,272
56534cf5-a,Books,484.89,20,364
891369e6-3,Home & Kitchen,431.84,10,286
1859fc40-2,Books,236.16,15,426
eb398faf-6,Electronics,319.55,25,221
4da1fb5d-d,Clothing,132.67,15,192
dfc784ec-d,Toys,112.35,5,433
69843943-b,Books,170.5,10,190
a4353860-7,Electronics,287.69,10,442
11d34f7e-2,Toys,216.75,0,337
df7930b9-d,Electronics,37.79,10,357
4ac6af27-a,Books,100.23,50,334
273017e8-2,Beauty,453.66,0,275
93235dc9-9,Toys,401.54,10,228
37a661c4-a,Beauty,442.41,15,407
c4f71922-a,Electronics,224.56,50,193
e740000e-2,Clothing,435.97,15,255
35efff39-b,Electronics,398.25,15,390
63c30b65-a,Toys,262.8,0,408
06fff043-4,Home & Kitchen,257.67,0,177
eba5c94a-6,Toys,410.07,50,237
39c7b618-6,Toys,51.33,20,234
76ca9c3c-c,Beauty,28.77,10,236
268b335a-8,Clothing,130.27,20,377
8164e79d-1,Beauty,113.72,50,180
a2f99d43-c,Beauty,306.77,50,333
d36a344e-f,Home & Kitchen,68.53,0,191
92411baa-e,Electronics,186.96,20,267
ed268cfc-4,Sports,496.79,5,355
6390f2ea-8,Books,479.63,0,383
7cbf22f9-2,Sports,235.86,20,181
85842870-7,Beauty,74.55,30,281
28ca7dce-f,Home & Kitchen,269.25,30,203
30ff2cd8-5,Books,66.37,25,233
579ede7a-c,Toys,122.84,5,369
b6add811-e,Electronics,209.68,5,367
e59dd1ef-7,Home & Kitchen,243.62,20,291
594121e8-4,Sports,421.25,25,379
4aa17ee2-e,Beauty,281.6,50,366
d001ebc6-5,Clothing,355.16,10,367
f474b729-5,Clothing,172.78,5,333
0412d7ff-f,Electronics,96.27,30,219
41f528fa-5,Sports,286.09,10,230
ef18627c-6,Home & Kitchen,407.47,30,207
8029a89d-b,Clothing,230.18,10,186
158fd3b5-2,Home & Kitchen,473.05,50,250
a52fdf17-b,Clothing,126.42,5,455
ad642b46-7,Electronics,357.02,5,444
dbebaa55-4,Home & Kitchen,114.6,5,186
e1afb191-5,Beauty,483.93,50,232
1fe67292-0,Electronics,410.02,30,397
793480ee-d,Home & Kitchen,39.29,15,220
3b3acd49-f,Home & Kitchen,143.25,20,289
c5a964e5-1,Sports,487.54,50,381
0c4145bc-8,Toys,84.34,50,253
98eb0ae1-e,Electronics,83.69,10,360
32f4abf1-e,Electronics,412.56,50,318
ac13377e-b,Toys,83.48,50,422
46b7b3a3-0,Clothing,422.69,20,367
df1e3f0d-5,Toys,110.52,20,208
